"timestamp","label","expert","symbol","period","from_date","to_date","initial_deposit","final_balance","net_pnl","entries","stopouts","tp_hits","ticks","bars","tester_log","agent_log","ini","notes"
"2026-03-13 17:13:51","baseline_sanity","Experts\DigitalRogue\Codex-Test\Codex-Test.ex5","EURAUD","M15","2024.01.01 00:00","2024.01.31 00:00","10000","10000","0","0","0","0","2642114","2016","C:\Users\digit\AppData\Roaming\MetaQuotes\Terminal\D3E6E9F9DA42E1A2ED575A94AE88F6CD\Tester\logs\20260313.log","C:\Users\digit\AppData\Roaming\MetaQuotes\Tester\D3E6E9F9DA42E1A2ED575A94AE88F6CD\Agent-127.0.0.1-3000\logs\20260313.log","C:\Users\digit\OneDrive\Documents\Codex-Projects\MT5\Codex-Test.EURAUD.M15.2024-01.sanity.ini","post-reset baseline"
"2026-03-13 22:38:31","prevday_v1_00_sanity","Experts\DigitalRogue\Codex-Test\Codex-Test.ex5","EURAUD","M15","2024.01.01 00:00","2024.01.31 00:00","10000","10000","0","0","0","0","2642114","2016","C:\Users\digit\AppData\Roaming\MetaQuotes\Terminal\D3E6E9F9DA42E1A2ED575A94AE88F6CD\Tester\logs\20260313.log","C:\Users\digit\AppData\Roaming\MetaQuotes\Tester\D3E6E9F9DA42E1A2ED575A94AE88F6CD\Agent-127.0.0.1-3000\logs\20260313.log","C:\Users\digit\OneDrive\Documents\Codex-Projects\MT5\PrevDay_VWAP_Q25_EA_v1_00.EURAUD.M15.2024-01.sanity.ini","new EA sanity run"
